week,region,country,betaMean,betaStd
2018-02-05/2018-02-11,Europe,Netherlands,0.3650870833910465,1.1008036577014138
2018-02-05/2018-02-11,Europe,North Macedonia,0.23606841696442807,1.0980440057167278
2018-02-05/2018-02-11,Europe,Norway,0.2804886667908119,1.0577228422950693
2018-02-05/2018-02-11,Europe,Poland,0.2052893482550404,1.1403792637691497
2018-02-05/2018-02-11,Europe,Portugal,0.296076149648515,1.0936571102330905
2018-02-05/2018-02-11,Europe,Romania,0.08782200257494426,0.19956584590123913
2018-02-05/2018-02-11,Europe,Russia,1.319074324706606,0.16218549703135476
2018-02-05/2018-02-11,Europe,Serbia,-1.088532963347058,0.24062350859445203
2018-02-05/2018-02-11,Europe,Slovakia,0.296739579317422,1.1197582938445494
2018-02-05/2018-02-11,Europe,Slovenia,0.21841477995659264,1.0572809800465839
2018-02-05/2018-02-11,Europe,Spain,0.302542577072991,1.0132399149936284
2018-02-05/2018-02-11,Europe,Sweden,0.31066646573043466,1.0330000557850263
2018-02-05/2018-02-11,Europe,Switzerland,0.2738328554049981,1.0700721048602722
2018-02-05/2018-02-11,Europe,Ukraine,3.486280734271996,0.1725147915281265
2018-02-05/2018-02-11,Europe,United Kingdom,1.8157145071647038,0.8674303595851931
2018-02-12/2018-02-18,Europe,Albania,-0.6397123800048626,0.214316487182786
2018-02-12/2018-02-18,Europe,Austria,0.14106845506288138,1.0607782410428026
2018-02-12/2018-02-18,Europe,Belarus,-0.872494110412353,0.2371080141494232
2018-02-12/2018-02-18,Europe,Belgium,0.24613471389242123,1.0554506437908662
2018-02-12/2018-02-18,Europe,Bosnia and Herzegovina,-0.8575334250216544,0.240040278634544
2018-02-12/2018-02-18,Europe,Bulgaria,-0.32219861282229906,0.21315310654925612
2018-02-12/2018-02-18,Europe,Croatia,-0.8584212227321424,0.24396985100334298
2018-02-12/2018-02-18,Europe,Cyprus,-2.0925475242971974,0.30730366494386263
2018-02-12/2018-02-18,Europe,Czech Republic,0.15407038965309705,1.0245711394404287
2018-02-12/2018-02-18,Europe,Denmark,0.17619353484729194,1.0794901428254762
2018-02-12/2018-02-18,Europe,Estonia,0.29428359556068406,1.1133876219130758
2018-02-12/2018-02-18,Europe,Finland,0.28908464622346314,1.032385441106955
2018-02-12/2018-02-18,Europe,France,0.30440550669282573,1.1475069036369603
2018-02-12/2018-02-18,Europe,Germany,0.267377378623795,1.0840504896418417
2018-02-12/2018-02-18,Europe,Greece,-0.45087980681381695,0.2249901881869382
2018-02-12/2018-02-18,Europe,Hungary,0.34265535787108836,1.0924270254939847
2018-02-12/2018-02-18,Europe,Iceland,0.23842242022083607,1.1119168486565063
2018-02-12/2018-02-18,Europe,Ireland,0.2162352389341535,1.029164456900132
2018-02-12/2018-02-18,Europe,Italy,0.2413220528579088,1.1019512924601658
2018-02-12/2018-02-18,Europe,Kosovo,-2.0984963001424437,0.31812227537539517
2018-02-12/2018-02-18,Europe,Latvia,0.18777629425400755,1.0725235260678887
2018-02-12/2018-02-18,Europe,Lithuania,0.22988792177636025,1.0786164469875956
2018-02-12/2018-02-18,Europe,Luxembourg,0.3337490243369565,1.0400647249389336
2018-02-12/2018-02-18,Europe,Malta,0.16738580585265322,1.0294979305054468
2018-02-12/2018-02-18,Europe,Moldova,-0.6390393063361359,0.22700103055919718
2018-02-12/2018-02-18,Europe,Montenegro,-2.119360427125956,0.31118005889965333
2018-02-12/2018-02-18,Europe,Netherlands,0.3137508210567718,1.1250666238749214
2018-02-12/2018-02-18,Europe,North Macedonia,0.15854925107960885,1.073845244059813
2018-02-12/2018-02-18,Europe,Norway,0.25483854496156716,1.0944764828763243
2018-02-12/2018-02-18,Europe,Poland,0.21463137924356895,0.9897424400533353
2018-02-12/2018-02-18,Europe,Portugal,0.2240614543940639,1.0588237353581547
2018-02-12/2018-02-18,Europe,Romania,-0.05218323606024852,0.19993914770670151
2018-02-12/2018-02-18,Europe,Russia,0.5649431376246731,0.19288288470311268
2018-02-12/2018-02-18,Europe,Serbia,-1.1221819220510267,0.23155860357477326
2018-02-12/2018-02-18,Europe,Slovakia,0.18927482683034463,1.044606376712631
2018-02-12/2018-02-18,Europe,Slovenia,0.30431102567039775,1.1205987802787611
2018-02-12/2018-02-18,Europe,Spain,0.3206665036455384,1.008664919175407
2018-02-12/2018-02-18,Europe,Sweden,0.24656949312702256,1.0469428150730564
2018-02-12/2018-02-18,Europe,Switzerland,0.20669192305791154,1.1194014512967325
2018-02-12/2018-02-18,Europe,Ukraine,3.4422820230191307,0.1703114230198897
2018-02-12/2018-02-18,Europe,United Kingdom,1.8544255534491128,0.8983718362936289
