week,region,meanUncertainty,hdiOverlapRate,entropy,entropyReliable
2018-11-05/2018-11-11,Middle East,0.08583333333333333,0.20512820512820512,4.902887099667311,True
2018-11-05/2018-11-11,Northern Africa,0.1996666666666667,0.6,2.711170203636221,True
2018-11-12/2018-11-18,Caucasus and Central Asia,0.1909722222222222,0.5555555555555556,4.542370406737824,True
2018-11-12/2018-11-18,Europe,0.5155304878048781,0.874390243902439,5.991464547107983,False
2018-11-12/2018-11-18,Middle East,0.06641025641025641,0.19230769230769232,4.035360318931013,True
2018-11-12/2018-11-18,Northern Africa,0.14266666666666664,0.4,2.1241297991210795,True
2018-11-19/2018-11-25,Caucasus and Central Asia,0.16444444444444445,0.5,4.04788356025107,True
2018-11-19/2018-11-25,Europe,0.5231829268292683,0.8060975609756098,5.991464547107983,False
2018-11-19/2018-11-25,Middle East,0.05391025641025641,0.14102564102564102,3.482892785819656,True
2018-11-19/2018-11-25,Northern Africa,0.165,0.26666666666666666,1.960797108337736,True
2018-11-26/2018-12-02,Caucasus and Central Asia,0.11458333333333333,0.2777777777777778,3.638405390617252,True
2018-11-26/2018-12-02,Europe,0.5126768292682926,0.8475609756097561,5.991464547107983,False
2018-11-26/2018-12-02,Middle East,0.07012820512820513,0.16666666666666666,4.288863124250369,True
2018-11-26/2018-12-02,Northern Africa,0.10633333333333334,0.26666666666666666,1.436622953225962,True
2018-12-03/2018-12-09,Caucasus and Central Asia,0.06388888888888888,0.2222222222222222,2.33657366104685,True
2018-12-03/2018-12-09,Europe,0.5095121951219512,0.8219512195121951,5.991464547107983,False
2018-12-03/2018-12-09,Middle East,0.08224358974358974,0.20512820512820512,4.429293678161155,True
2018-12-03/2018-12-09,Northern Africa,0.12166666666666667,0.3333333333333333,1.9506380592951176,True
2018-12-10/2018-12-16,Caucasus and Central Asia,0.09777777777777777,0.3055555555555556,3.3480871952377376,True
2018-12-10/2018-12-16,Europe,0.5275243902439024,0.8792682926829268,5.991464547107983,False
2018-12-10/2018-12-16,Middle East,0.06384615384615386,0.19230769230769232,3.6425762448537737,True
2018-12-10/2018-12-16,Northern Africa,0.09299999999999999,0.2,1.3251101970614825,True
2018-12-17/2018-12-23,Caucasus and Central Asia,0.19055555555555553,0.5555555555555556,4.558110096496517,True
2018-12-17/2018-12-23,Europe,0.551140243902439,0.8792682926829268,5.991464547107983,False
2018-12-17/2018-12-23,Middle East,0.08089743589743591,0.1794871794871795,4.438258821084624,True
2018-12-17/2018-12-23,Northern Africa,0.07533333333333332,0.4,1.5335071423054432,True
2018-12-24/2018-12-30,Caucasus and Central Asia,0.185,0.4722222222222222,4.119742303581674,True
2018-12-24/2018-12-30,Europe,0.550219512195122,0.875609756097561,5.991464547107983,False
2018-12-24/2018-12-30,Middle East,0.043333333333333335,0.16666666666666666,3.2827806527846053,True
2018-12-24/2018-12-30,Northern Africa,0.06199999999999999,0.26666666666666666,1.283038587559353,True
2018-12-31/2019-01-06,Caucasus and Central Asia,0.20569444444444446,0.3888888888888889,4.438498162751418,True
2018-12-31/2019-01-06,Europe,0.6596219512195122,0.9317073170731708,5.991464547107983,False
2018-12-31/2019-01-06,Middle East,0.10179487179487179,0.19230769230769232,4.968383716865827,True
2018-12-31/2019-01-06,Northern Africa,0.20066666666666666,0.5333333333333333,2.6443887705635767,True
2019-01-07/2019-01-13,Caucasus and Central Asia,0.09569444444444446,0.3888888888888889,3.3916727957481783,True
2019-01-07/2019-01-13,Europe,0.6193719512195122,0.9036585365853659,5.991464547107983,False
2019-01-07/2019-01-13,Middle East,0.03455128205128205,0.1282051282051282,2.7936317747082025,True
2019-01-07/2019-01-13,Northern Africa,0.14633333333333334,0.4,2.071952468146185,True
2019-01-14/2019-01-20,Caucasus and Central Asia,0.1704166666666667,0.5833333333333334,4.226240957218039,True
2019-01-14/2019-01-20,Europe,0.5649939024390244,0.901219512195122,5.991464547107983,False
2019-01-14/2019-01-20,Middle East,0.016602564102564103,0.1282051282051282,2.006569409474458,True
2019-01-14/2019-01-20,Northern Africa,0.11733333333333333,0.4666666666666667,1.8997390255579536,True
2019-01-21/2019-01-27,Caucasus and Central Asia,0.10111111111111111,0.4444444444444444,3.413015477759376,True
2019-01-21/2019-01-27,Europe,0.590048780487805,0.8451219512195122,5.991464547107983,False
2019-01-21/2019-01-27,Middle East,0.06435897435897435,0.1282051282051282,3.754485806988941,True
2019-01-21/2019-01-27,Northern Africa,0.015333333333333332,0.13333333333333333,0.4099772629769882,True
2019-01-28/2019-02-03,Caucasus and Central Asia,0.2086111111111111,0.5277777777777778,4.690810646234116,True
2019-01-28/2019-02-03,Europe,0.5370182926829269,0.8439024390243902,5.991464547107983,False
2019-01-28/2019-02-03,Middle East,0.05243589743589743,0.20512820512820512,3.863027006540416,True
2019-01-28/2019-02-03,Northern Africa,0.069,0.3333333333333333,1.3181259879580032,True
2019-02-04/2019-02-10,Caucasus and Central Asia,0.20305555555555554,0.5277777777777778,4.079003807669882,True
2019-02-04/2019-02-10,Europe,0.5008963414634147,0.8134146341463414,5.991464547107983,False
2019-02-04/2019-02-10,Middle East,0.07314102564102565,0.19230769230769232,4.370915906574075,True
2019-02-04/2019-02-10,Northern Africa,0.13133333333333333,0.5333333333333333,2.252166835897132,True
2019-02-11/2019-02-17,Caucasus and Central Asia,0.1098611111111111,0.3888888888888889,3.4323145115477893,True
2019-02-11/2019-02-17,Europe,0.5168536585365854,0.8182926829268292,5.991464547107983,False
2019-02-11/2019-02-17,Middle East,0.0573076923076923,0.15384615384615385,3.525721226502606,True
2019-02-11/2019-02-17,Northern Africa,0.15866666666666665,0.26666666666666666,2.14912115224433,True
2019-02-18/2019-02-24,Caucasus and Central Asia,0.2075,0.5,4.351225237286188,True
2019-02-18/2019-02-24,Europe,0.527280487804878,0.8451219512195122,5.991464547107983,False
2019-02-18/2019-02-24,Middle East,0.08967948717948718,0.21794871794871795,4.663356262373423,True
2019-02-18/2019-02-24,Northern Africa,0.06533333333333333,0.4,1.0520195983135705,True
2019-02-25/2019-03-03,Caucasus and Central Asia,0.09777777777777778,0.2777777777777778,2.965904478816847,True
2019-02-25/2019-03-03,Europe,0.5254329268292683,0.8719512195121951,5.991464547107983,False
2019-02-25/2019-03-03,Middle East,0.06532051282051282,0.19230769230769232,4.021438999060648,True
2019-02-25/2019-03-03,Northern Africa,0.15933333333333335,0.4,2.386558722575317,True
2019-03-04/2019-03-10,Caucasus and Central Asia,0.08319444444444443,0.25,2.6530700835552867,True
2019-03-04/2019-03-10,Europe,0.49914634146341463,0.8317073170731707,5.991464547107983,False
2019-03-04/2019-03-10,Middle East,0.07820512820512822,0.11538461538461539,4.267824320578005,True
2019-03-04/2019-03-10,Northern Africa,0.07233333333333332,0.3333333333333333,1.437080461174202,True
2019-03-11/2019-03-17,Caucasus and Central Asia,0.10541666666666666,0.3055555555555556,2.7931353584513943,True
2019-03-11/2019-03-17,Europe,0.5187317073170732,0.8378048780487805,5.991464547107983,False
2019-03-11/2019-03-17,Middle East,0.03365384615384615,0.1282051282051282,2.63565307170844,True
2019-03-11/2019-03-17,Northern Africa,0.06566666666666666,0.4666666666666667,1.4106036968138396,True
2019-03-18/2019-03-24,Caucasus and Central Asia,0.10680555555555556,0.3055555555555556,3.230378396689262,True
2019-03-18/2019-03-24,Europe,0.5089756097560976,0.824390243902439,5.991464547107983,False
2019-03-18/2019-03-24,Middle East,0.05903846153846153,0.10256410256410256,3.7549683487978105,True
2019-03-18/2019-03-24,Northern Africa,0.061666666666666654,0.3333333333333333,1.3105381707178854,True
2019-03-25/2019-03-31,Caucasus and Central Asia,0.09680555555555553,0.2222222222222222,2.9643287091834285,True
2019-03-25/2019-03-31,Europe,0.47714024390243903,0.8365853658536585,5.991464547107983,False
2019-03-25/2019-03-31,Middle East,0.04173076923076924,0.1282051282051282,3.234706797508147,True
2019-03-25/2019-03-31,Northern Africa,0.06433333333333333,0.3333333333333333,1.3673881789897735,True
2019-04-01/2019-04-07,Caucasus and Central Asia,0.09597222222222221,0.2777777777777778,3.075059244671365,True
2019-04-01/2019-04-07,Europe,0.5129146341463414,0.8439024390243902,5.991464547107983,False
2019-04-01/2019-04-07,Middle East,0.06262820512820512,0.1282051282051282,3.782229594458319,True
2019-04-01/2019-04-07,Northern Africa,0.07633333333333334,0.2,0.9666046350780128,True
2019-04-08/2019-04-14,Caucasus and Central Asia,0.10958333333333334,0.3333333333333333,3.308181337867606,True
2019-04-08/2019-04-14,Europe,0.48346951219512196,0.8390243902439024,5.991464547107983,False
2019-04-08/2019-04-14,Middle East,0.019038461538461535,0.07692307692307693,1.886481842363244,True
2019-04-08/2019-04-14,Northern Africa,0.178,0.3333333333333333,2.144088965354726,True
2019-04-15/2019-04-21,Caucasus and Central Asia,0.06736111111111111,0.25,2.662337985505107,True
2019-04-15/2019-04-21,Europe,0.5298841463414634,0.8695121951219512,5.991464547107983,False
2019-04-15/2019-04-21,Middle East,0.08365384615384615,0.16666666666666666,3.96304556726629,True
2019-04-15/2019-04-21,Northern Africa,0.058333333333333334,0.13333333333333333,1.049014982660431,True
2019-04-22/2019-04-28,Caucasus and Central Asia,0.12166666666666666,0.2777777777777778,3.368367382740914,True
2019-04-22/2019-04-28,Europe,0.5245731707317073,0.8268292682926829,5.991464547107983,False
2019-04-22/2019-04-28,Middle East,0.02852564102564102,0.0641025641025641,1.9741080161332567,True
2019-04-22/2019-04-28,Northern Africa,0.14366666666666666,0.4,1.9765135404735097,True
2019-04-29/2019-05-05,Caucasus and Central Asia,0.15194444444444444,0.3333333333333333,3.7070077639016814,True
2019-04-29/2019-05-05,Europe,0.5000853658536585,0.8573170731707317,5.991464547107983,False
2019-04-29/2019-05-05,Middle East,0.07711538461538461,0.1282051282051282,4.319918496298171,True
2019-04-29/2019-05-05,Northern Africa,0.08366666666666668,0.3333333333333333,1.347033382683794,True
2019-05-06/2019-05-12,Caucasus and Central Asia,0.04069444444444444,0.2222222222222222,1.796540532669759,True
2019-05-06/2019-05-12,Europe,0.5402378048780487,0.8402439024390244,5.991464547107983,False
2019-05-06/2019-05-12,Middle East,0.034487179487179484,0.14102564102564102,2.784696376900952,True
2019-05-06/2019-05-12,Northern Africa,0.14533333333333331,0.26666666666666666,2.0936685264002635,True
2019-05-13/2019-05-19,Caucasus and Central Asia,0.11750000000000001,0.3611111111111111,3.5329968272136174,True
