week,region,country,betaMean,betaStd
2018-02-05/2018-02-11,Middle East,Turkey,-0.2616066111331174,0.0657128169153374
2018-02-05/2018-02-11,Middle East,Yemen,1.1848486948926868,0.11702384098286138
2018-02-12/2018-02-18,Middle East,Bahrain,0.48088050893170114,0.05801772694427623
2018-02-12/2018-02-18,Middle East,Iran,-0.039098908507108045,0.06549102780415388
2018-02-12/2018-02-18,Middle East,Iraq,0.2576813515237288,0.06214223050589864
2018-02-12/2018-02-18,Middle East,Israel,-2.140948560412861,0.12186065014756378
2018-02-12/2018-02-18,Middle East,Jordan,-0.6665578158257126,0.0813885845813508
2018-02-12/2018-02-18,Middle East,Kuwait,0.4521171028070339,0.23580288781441172
2018-02-12/2018-02-18,Middle East,Lebanon,-1.7907852727595996,0.10722492809896479
2018-02-12/2018-02-18,Middle East,Palestine,0.6046202455675053,0.05817290903320962
2018-02-12/2018-02-18,Middle East,Qatar,0.4824687808967746,0.22516670277804204
2018-02-12/2018-02-18,Middle East,Saudi Arabia,-0.6112863882638387,0.07684803273405175
2018-02-12/2018-02-18,Middle East,Syria,2.2414608916979843,0.054248599262158144
2018-02-12/2018-02-18,Middle East,Turkey,-0.5264613513422798,0.0688906466629686
2018-02-12/2018-02-18,Middle East,Yemen,1.255909415686674,0.11241415103722038
2018-02-19/2018-02-25,Middle East,Bahrain,0.23691822457047423,0.06427168991473597
2018-02-19/2018-02-25,Middle East,Iran,-0.038754614082870974,0.06556958261448828
2018-02-19/2018-02-25,Middle East,Iraq,-0.23905643573167018,0.07147492176374758
2018-02-19/2018-02-25,Middle East,Israel,-1.957158947926535,0.11059339611410954
2018-02-19/2018-02-25,Middle East,Jordan,-1.2063984290257102,0.08669365164172783
2018-02-19/2018-02-25,Middle East,Kuwait,0.7858202061605367,0.24952462996744038
2018-02-19/2018-02-25,Middle East,Lebanon,-1.6334624914526987,0.10795752880998541
2018-02-19/2018-02-25,Middle East,Palestine,0.8840827909341907,0.05400227372126809
2018-02-19/2018-02-25,Middle East,Qatar,0.7844042187399765,0.24608045473143797
2018-02-19/2018-02-25,Middle East,Saudi Arabia,-1.2203457750529914,0.08824166264728192
2018-02-19/2018-02-25,Middle East,Syria,2.4634476150484264,0.05436463420417715
2018-02-19/2018-02-25,Middle East,Turkey,-0.04397848803497486,0.06325499149182448
2018-02-19/2018-02-25,Middle East,Yemen,1.1844821258538445,0.12390850369449191
2018-02-26/2018-03-04,Middle East,Bahrain,-0.41396548137848266,0.07872132499055269
2018-02-26/2018-03-04,Middle East,Iran,0.423150462412572,0.07046784337500195
2018-02-26/2018-03-04,Middle East,Iraq,0.22114234483409867,0.07106951198791979
2018-02-26/2018-03-04,Middle East,Israel,-2.435936466316201,0.1484529451879576
2018-02-26/2018-03-04,Middle East,Jordan,-0.866211796433622,0.08595811963716252
2018-02-26/2018-03-04,Middle East,Kuwait,1.1620228306718674,0.27306003614550095
2018-02-26/2018-03-04,Middle East,Lebanon,-1.3625299846225685,0.10076844892366606
2018-02-26/2018-03-04,Middle East,Palestine,0.5132768539081178,0.0658298073449325
2018-02-26/2018-03-04,Middle East,Qatar,1.1817994869981745,0.2807666527926821
2018-02-26/2018-03-04,Middle East,Saudi Arabia,-1.7599775519792695,0.11509822209957198
2018-02-26/2018-03-04,Middle East,Syria,2.774732491036482,0.06311067540148235
2018-02-26/2018-03-04,Middle East,Turkey,-0.5680366203222007,0.08696820967364068
2018-02-26/2018-03-04,Middle East,Yemen,1.130533431191035,0.14459891825704585
2018-03-05/2018-03-11,Middle East,Bahrain,-0.16631946877361967,0.0681549880177798
2018-03-05/2018-03-11,Middle East,Iran,0.3216636562568298,0.05991767778649985
2018-03-05/2018-03-11,Middle East,Iraq,0.06937854914445402,0.0641919699804814
2018-03-05/2018-03-11,Middle East,Israel,-1.7236300346943372,0.10894298234545628
2018-03-05/2018-03-11,Middle East,Jordan,-1.1062139489145943,0.09349041280581516
2018-03-05/2018-03-11,Middle East,Kuwait,0.6256024658967773,0.23920695856438798
2018-03-05/2018-03-11,Middle East,Lebanon,-1.2104957123806057,0.09574744325399942
2018-03-05/2018-03-11,Middle East,Palestine,-0.15919010114729162,0.0657720699854972
2018-03-05/2018-03-11,Middle East,Qatar,0.6049585168166771,0.2402177921623697
2018-03-05/2018-03-11,Middle East,Saudi Arabia,-0.9615566607707967,0.08898540981313081
2018-03-05/2018-03-11,Middle East,Syria,2.342243014702801,0.05334806044844852
2018-03-05/2018-03-11,Middle East,Turkey,0.09042838138647735,0.06438644797887666
2018-03-05/2018-03-11,Middle East,Yemen,1.2731313424772308,0.1187122879644615
2018-03-12/2018-03-18,Middle East,Bahrain,0.09191363504276956,0.05976991707663934
2018-03-12/2018-03-18,Middle East,Iran,0.31016200790275994,0.06102346576010663
2018-03-12/2018-03-18,Middle East,Iraq,0.4730704726636855,0.0582888899380849
2018-03-12/2018-03-18,Middle East,Israel,-2.319584774123452,0.12630819695201911
2018-03-12/2018-03-18,Middle East,Jordan,-1.0076904825864752,0.08162863680732187
2018-03-12/2018-03-18,Middle East,Kuwait,0.6294149685189253,0.22666596000739786
2018-03-12/2018-03-18,Middle East,Lebanon,-1.261733713387265,0.0901055315173803
2018-03-12/2018-03-18,Middle East,Palestine,0.2516160015111731,0.060293948800191885
2018-03-12/2018-03-18,Middle East,Qatar,0.6525835725595605,0.22733011048443483
2018-03-12/2018-03-18,Middle East,Saudi Arabia,-0.7762688290567032,0.07469332715310946
2018-03-12/2018-03-18,Middle East,Syria,2.3299102770147924,0.053919706988201116
2018-03-12/2018-03-18,Middle East,Turkey,-0.5152628426387078,0.07477557019801212
2018-03-12/2018-03-18,Middle East,Yemen,1.1418697065789403,0.11847458476232814
2018-03-19/2018-03-25,Middle East,Bahrain,-0.07419657446143525,0.07392453150607237
2018-03-19/2018-03-25,Middle East,Iran,-0.7209842228305728,0.08046875955066445
2018-03-19/2018-03-25,Middle East,Iraq,0.5620369379851329,0.058841296587474855
2018-03-19/2018-03-25,Middle East,Israel,-2.088489705746854,0.13460366272786747
2018-03-19/2018-03-25,Middle East,Jordan,-0.7554720053343688,0.08408334980901962
2018-03-19/2018-03-25,Middle East,Kuwait,0.3042883077789041,0.2489808889259527
2018-03-19/2018-03-25,Middle East,Lebanon,-1.6969358344071293,0.11864475200924696
2018-03-19/2018-03-25,Middle East,Palestine,0.8897396915681584,0.062216179848191014
2018-03-19/2018-03-25,Middle East,Qatar,0.32219727113127483,0.23745289855063328
2018-03-19/2018-03-25,Middle East,Saudi Arabia,-1.1265551615104457,0.09000550304627489
2018-03-19/2018-03-25,Middle East,Syria,2.340774685385265,0.05692777226417024
2018-03-19/2018-03-25,Middle East,Turkey,0.4730873060090002,0.06549119729024208
