tradingDay,dayOffset,events_CaucasusCA,events_Europe,events_MiddleEast,events_NorthAfrica,Return_EEM,Return_GLD,Return_ITA,Return_USO,Return_VIX
2022-07-12,3.0,11,233,125,8,0.005204087086756237,-0.0020084561635671516,0.008741152900939575,0.01221687588592868,-0.08219697377460633
2022-07-13,-1.0,15,242,85,10,-0.0038443712899464133,-0.0037167247224720867,0.0015231389708443288,-0.0692829549502948,0.04279712785511025
2022-07-13,0.0,15,242,85,10,-0.002315481370997907,0.004787690503602615,-0.015205428515786323,0.005219130552870821,-0.01722246994999932
2022-07-13,1.0,15,242,85,10,-0.00902506783123802,-0.014047055610919013,-0.010808264117835309,-0.004645497416909561,-0.01565995828012612
2022-07-13,2.0,15,242,85,10,0.005204087086756237,-0.0020084561635671516,0.008741152900939575,0.01221687588592868,-0.08219697377460633
2022-07-13,3.0,15,242,85,10,0.006989709735675698,0.0009433945063559435,-0.01227555988553064,0.04163276083213163,0.04416012030702099
2022-07-14,-1.0,19,286,116,8,-0.002315481370997907,0.004787690503602615,-0.015205428515786323,0.005219130552870821,-0.01722246994999932
2022-07-14,0.0,19,286,116,8,-0.00902506783123802,-0.014047055610919013,-0.010808264117835309,-0.004645497416909561,-0.01565995828012612
2022-07-14,1.0,19,286,116,8,0.005204087086756237,-0.0020084561635671516,0.008741152900939575,0.01221687588592868,-0.08219697377460633
2022-07-14,2.0,19,286,116,8,0.006989709735675698,0.0009433945063559435,-0.01227555988553064,0.04163276083213163,0.04416012030702099
2022-07-14,3.0,19,286,116,8,0.016452235883954947,0.0023874693093759447,0.036031254031756665,0.016143803314381477,-0.031620524157513485
2022-07-15,-1.0,12,219,127,9,-0.00902506783123802,-0.014047055610919013,-0.010808264117835309,-0.004645497416909561,-0.01565995828012612
2022-07-15,0.0,12,219,127,9,0.005204087086756237,-0.0020084561635671516,0.008741152900939575,0.01221687588592868,-0.08219697377460633
2022-07-15,1.0,12,219,127,9,0.006989709735675698,0.0009433945063559435,-0.01227555988553064,0.04163276083213163,0.04416012030702099
2022-07-15,2.0,12,219,127,9,0.016452235883954947,0.0023874693093759447,0.036031254031756665,0.016143803314381477,-0.031620524157513485
2022-07-15,3.0,12,219,127,9,-0.004299528063342217,-0.009402031234323593,0.01300389052614448,-0.005253089635851582,-0.02530615670340397
2022-07-18,-1.0,38,634,394,47,0.005204087086756237,-0.0020084561635671516,0.008741152900939575,0.01221687588592868,-0.08219697377460633
