week,region,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,Return_EEM,Return_GLD,Return_ITA,Return_USO,Return_VIX
2018-03-26/2018-04-01,Middle East,0.041602564102564105,0.19230769230769232,3.503207200425729,True,0.030123543840498198,-0.014235820647286901,0.017103953604598904,-0.014335830231700101,-0.19486204151587988
2018-03-26/2018-04-01,Northern Africa,0.253,0.7333333333333333,2.932360778962836,True,0.030123543840498198,-0.014235820647286901,0.017103953604598904,-0.014335830231700101,-0.19486204151587988
2018-04-02/2018-04-08,Caucasus and Central Asia,0.05374999999999999,0.2222222222222222,2.142339698996605,True,-0.0247586666773371,0.0048797804436039,-0.006116196561603299,-0.044624327276816,0.1055990367657198
2018-04-02/2018-04-08,Europe,0.5179817073170732,0.8878048780487805,5.991464547107983,False,-0.0247586666773371,0.0048797804436039,-0.006116196561603299,-0.044624327276816,0.1055990367657198
2018-04-02/2018-04-08,Middle East,0.032756410256410254,0.14102564102564102,2.6732621144022,True,-0.0247586666773371,0.0048797804436039,-0.006116196561603299,-0.044624327276816,0.1055990367657198
2018-04-02/2018-04-08,Northern Africa,0.8276666666666667,1.0,5.118834854612419,True,-0.0247586666773371,0.0048797804436039,-0.006116196561603299,-0.044624327276816,0.1055990367657198
2018-04-09/2018-04-15,Caucasus and Central Asia,0.12305555555555554,0.3888888888888889,3.7604322706975126,True,0.010593180025415398,0.0084800392958992,0.015012935139321903,0.08088920069425999,-0.20279424023362472
2018-04-09/2018-04-15,Europe,0.6417743902439025,0.9219512195121952,5.991464547107983,False,0.010593180025415398,0.0084800392958992,0.015012935139321903,0.08088920069425999,-0.20279424023362472
2018-04-09/2018-04-15,Middle East,0.03615384615384615,0.16666666666666666,2.79458436938905,True,0.010593180025415398,0.0084800392958992,0.015012935139321903,0.08088920069425999,-0.20279424023362472
2018-04-09/2018-04-15,Northern Africa,0.17733333333333332,0.6666666666666666,2.6485291688749983,True,0.010593180025415398,0.0084800392958992,0.015012935139321903,0.08088920069425999,-0.20279424023362472
