week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Kuwait,0.0025,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Lebanon,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Palestine,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Qatar,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Saudi Arabia,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Turkey,0.875,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Bahrain,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Iraq,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Israel,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Jordan,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Kuwait,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Lebanon,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Palestine,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Qatar,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Saudi Arabia,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Turkey,0.095,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iran,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Israel,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Jordan,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Kuwait,0.005,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Lebanon,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Palestine,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Qatar,0.0025,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Saudi Arabia,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Turkey,0.97,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Iraq,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Jordan,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Kuwait,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Lebanon,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Palestine,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Qatar,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Saudi Arabia,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Turkey,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Israel,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Kuwait,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Lebanon,0.245,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Palestine,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Qatar,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Saudi Arabia,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Turkey,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Jordan,Yemen,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Lebanon,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Palestine,0.7225,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Qatar,0.4975,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Saudi Arabia,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Syria,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Turkey,1.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Kuwait,Yemen,0.035,True
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Lebanon,Palestine,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Lebanon,Qatar,0.0,False
2018-01-15/2018-01-21,Middle East,3.5918335125863017,Lebanon,Saudi Arabia,0.0,False
