week,region,entropy,countryI,countryJ,flipProbability,hdiOverlap,entropyReliable
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Algeria,Libya,1.0,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Algeria,Morocco,1.0,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Algeria,Sudan,0.9975,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Algeria,Tunisia,1.0,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Egypt,Libya,0.9,True,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Egypt,Morocco,0.9975,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Egypt,Sudan,0.6275,True,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Egypt,Tunisia,1.0,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Libya,Morocco,0.9425,True,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Libya,Sudan,0.1525,True,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Libya,Tunisia,0.965,True,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Morocco,Sudan,0.0025,False,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Morocco,Tunisia,0.535,True,True
2018-02-12/2018-02-18,Northern Africa,2.3071666738586463,Sudan,Tunisia,0.9975,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Algeria,Egypt,0.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Algeria,Libya,0.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Algeria,Morocco,0.7725,True,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Algeria,Sudan,0.0025,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Algeria,Tunisia,0.02,True,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Egypt,Libya,0.3675,True,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Egypt,Morocco,1.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Egypt,Sudan,0.9925,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Egypt,Tunisia,1.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Libya,Morocco,1.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Libya,Sudan,1.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Libya,Tunisia,1.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Morocco,Sudan,0.0,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Morocco,Tunisia,0.005,False,True
2018-02-19/2018-02-25,Northern Africa,1.9140808590429108,Sudan,Tunisia,0.74,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Algeria,Egypt,0.965,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Algeria,Libya,0.07,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Algeria,Morocco,1.0,False,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Algeria,Sudan,0.7525,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Algeria,Tunisia,0.9175,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Egypt,Libya,0.0,False,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Egypt,Morocco,0.9575,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Egypt,Sudan,0.11,True,True
2018-02-26/2018-03-04,Northern Africa,2.5514884463350667,Egypt,Tunisia,0.315,True,True
