week,region,meanAbsBeta,maxBeta,maxStd,topCountry,secondCountry,firstMinusSecond,meanAbsBetaChange,maxBetaChange,meanUncertainty,hdiOverlapRate,entropy,entropyReliable,PC1,PC2,cluster,clusterLabel
2019-04-29/2019-05-05,Caucasus and Central Asia,1.0988837437123664,2.1115598927998347,0.1440871699253729,Afghanistan,Azerbaijan,0.6892600865248935,0.0050213387780291,-0.0725950082566546,0.1519444444444444,0.3333333333333333,3.7070077639016814,True,0.161866244687694,0.010389712951149536,3,Calm / steady-ranking
2019-05-06/2019-05-12,Caucasus and Central Asia,1.2730642939155652,2.6451703029135336,0.1196675496333776,Afghanistan,Azerbaijan,0.904770439077891,0.1741805502031987,0.5336104101136989,0.0406944444444444,0.2222222222222222,1.796540532669759,True,-1.3408169878283915,1.125824297820827,1,Acute crisis / escalation
2019-05-13/2019-05-19,Caucasus and Central Asia,1.2028230196932947,2.126763465521228,0.1449730059546929,Afghanistan,Azerbaijan,0.7789515689055884,-0.0702412742222704,-0.5184068373923059,0.1175,0.3611111111111111,3.5329968272136174,True,0.23186540327589603,-0.491476398665029,3,Calm / steady-ranking
2019-05-20/2019-05-26,Caucasus and Central Asia,1.3364076835840146,2.341674143284059,0.1159315767596964,Afghanistan,Azerbaijan,0.6821148527889052,0.1335846638907198,0.2149106777628313,0.0638888888888888,0.25,2.198930327235575,True,-1.116638783521279,0.43064955642281044,1,Acute crisis / escalation
2019-05-27/2019-06-02,Caucasus and Central Asia,1.261885722248581,2.418939710980053,0.121660294940171,Afghanistan,Azerbaijan,1.0033536167995123,-0.0745219613354335,0.0772655676959939,0.0670833333333333,0.2222222222222222,2.402415565271309,True,-0.767280355222337,0.27120703643046007,1,Acute crisis / escalation
2019-06-03/2019-06-09,Caucasus and Central Asia,0.9853949313885813,1.591170512564436,0.1374747307446593,Afghanistan,Azerbaijan,0.049195643429682,-0.2764907908599999,-0.827769198415617,0.1455555555555555,0.4722222222222222,4.072085583123918,True,1.083770600333037,-2.144075371569654,0,Contested but quiet
2019-06-10/2019-06-16,Caucasus and Central Asia,1.3220329493143264,2.528577065148621,0.120918898293576,Afghanistan,Azerbaijan,0.7729761990174286,0.3366380179257452,0.937406552584185,0.1097222222222222,0.3055555555555556,3.500453420301897,True,-1.2730309299732478,1.8694636199649715,1,Acute crisis / escalation
2019-06-17/2019-06-23,Caucasus and Central Asia,1.1303200233220692,2.3014608252147,0.1290694350834496,Afghanistan,Uzbekistan,1.166056366895844,-0.1917129259922572,-0.2271162399339208,0.1238888888888888,0.2777777777777778,2.7049686482228257,True,0.041860439461476356,-0.045234477999080855,3,Calm / steady-ranking
2019-06-24/2019-06-30,Caucasus and Central Asia,1.1887982231474497,2.760411477377516,0.1432140556706446,Afghanistan,Uzbekistan,1.3693997289363498,0.0584781998253804,0.4589506521628159,0.1027777777777777,0.2777777777777778,2.654928186180841,True,-0.5474334538126439,1.5742869941563593,1,Acute crisis / escalation
2019-07-01/2019-07-07,Caucasus and Central Asia,1.31439716746372,3.168397387384849,0.1268516394470609,Afghanistan,Turkmenistan,2.004265516245648,0.1255989443162704,0.4079859100073331,0.0584722222222222,0.25,2.2545536076297514,True,-1.0747359556128402,2.3405784646792003,1,Acute crisis / escalation
